date,call_volume,day_of_week,weather
2023-01-01,326,6,sunny
2023-01-02,1036,0,rainy
2023-01-03,916,1,rainy
2023-01-04,942,2,sunny
2023-01-05,777,3,rainy
2023-01-06,909,4,sunny
2023-01-07,530,5,sunny
2023-01-08,339,6,sunny
2023-01-09,1108,0,sunny
2023-01-10,1006,1,sunny
2023-01-11,899,2,sunny
2023-01-12,830,3,rainy
2023-01-13,959,4,sunny
2023-01-14,537,5,sunny
2023-01-15,277,6,snowy
2023-01-16,1072,0,sunny
2023-01-17,974,1,sunny
2023-01-18,851,2,rainy
2023-01-19,875,3,sunny
2023-01-20,919,4,sunny
2023-01-21,554,5,sunny
2023-01-22,320,6,sunny
2023-01-23,934,0,snowy
2023-01-24,890,1,rainy
2023-01-25,847,2,rainy
2023-01-26,818,3,rainy
2023-01-27,829,4,rainy
2023-01-28,550,5,sunny
2023-01-29,302,6,rainy
2023-01-30,1060,0,sunny
2023-01-31,907,1,rainy
2023-02-01,827,2,rainy
2023-02-02,849,3,sunny
2023-02-03,968,4,sunny
2023-02-04,570,5,sunny
2023-02-05,338,6,sunny
2023-02-06,984,0,rainy
2023-02-07,871,1,rainy
2023-02-08,948,2,sunny
2023-02-09,875,3,sunny
2023-02-10,906,4,sunny
2023-02-11,549,5,sunny
2023-02-12,317,6,sunny
2023-02-13,1136,0,sunny
2023-02-14,838,1,snowy
2023-02-15,947,2,sunny
2023-02-16,866,3,sunny
2023-02-17,851,4,rainy
2023-02-18,552,5,sunny
2023-02-19,277,6,snowy
2023-02-20,985,0,snowy
2023-02-21,1011,1,sunny
2023-02-22,967,2,sunny
2023-02-23,907,3,sunny
2023-02-24,942,4,sunny
2023-02-25,568,5,sunny
2023-02-26,290,6,rainy
2023-02-27,1073,0,sunny
2023-02-28,953,1,sunny
2023-03-01,921,2,sunny
2023-03-02,753,3,snowy
2023-03-03,917,4,sunny
2023-03-04,564,5,sunny
2023-03-05,326,6,sunny
2023-03-06,933,0,snowy
2023-03-07,993,1,sunny
2023-03-08,825,2,rainy
2023-03-09,819,3,rainy
2023-03-10,903,4,sunny
2023-03-11,519,5,rainy
2023-03-12,337,6,sunny
2023-03-13,975,0,rainy
2023-03-14,864,1,rainy
2023-03-15,958,2,sunny
2023-03-16,894,3,sunny
2023-03-17,865,4,rainy
2023-03-18,561,5,sunny
2023-03-19,318,6,sunny
2023-03-20,1087,0,sunny
2023-03-21,959,1,sunny
2023-03-22,874,2,rainy
2023-03-23,888,3,sunny
2023-03-24,922,4,sunny
2023-03-25,530,5,sunny
2023-03-26,295,6,rainy
2023-03-27,1084,0,sunny
2023-03-28,916,1,rainy
2023-03-29,945,2,sunny
2023-03-30,783,3,snowy
2023-03-31,932,4,sunny
